hour,occupancy,month,year,weekend,day
0,62,2,2014,False,12
1,35,2,2014,False,12
2,33,2,2014,False,12
3,31,2,2014,False,12
4,59,2,2014,False,12
5,227,2,2014,False,12
6,817,2,2014,False,12
7,1659,2,2014,False,12
8,2347,2,2014,False,12
9,2548,2,2014,False,12
10,2561,2,2014,False,12
11,2547,2,2014,False,12
12,2471,2,2014,False,12
13,2507,2,2014,False,12
14,2506,2,2014,False,12
15,2445,2,2014,False,12
16,2210,2,2014,False,12
17,1527,2,2014,False,12
18,714,2,2014,False,12
19,288,2,2014,False,12
20,168,2,2014,False,12
21,111,2,2014,False,12
22,69,2,2014,False,12
23,69,2,2014,False,12
0,69,2,2014,False,13
1,35,2,2014,False,13
2,36,2,2014,False,13
3,36,2,2014,False,13
4,56,2,2014,False,13
5,220,2,2014,False,13
6,781,2,2014,False,13
7,1631,2,2014,False,13
8,2293,2,2014,False,13
9,2456,2,2014,False,13
10,2489,2,2014,False,13
11,2469,2,2014,False,13
12,2402,2,2014,False,13
13,2437,2,2014,False,13
